Open Time,Open,High,Low,Close,Volume
2024-10-28 13:45:00,69062.00000000,69280.00000000,68784.38000000,68819.99000000,871.94768000
2024-10-28 14:00:00,68820.00000000,69100.00000000,68688.00000000,69039.22000000,524.70634000
2024-10-28 14:15:00,69039.22000000,69068.00000000,68800.00000000,68810.74000000,418.89293000
2024-10-28 14:30:00,68810.74000000,68939.40000000,68688.00000000,68939.39000000,514.53919000
2024-10-28 14:45:00,68939.39000000,69026.00000000,68819.90000000,68840.00000000,319.71092000
2024-10-28 15:00:00,68840.00000000,68853.27000000,68613.17000000,68699.90000000,440.18320000
2024-10-28 15:15:00,68699.91000000,68730.94000000,68500.01000000,68521.03000000,390.91163000
2024-10-28 15:30:00,68521.04000000,68679.50000000,68426.67000000,68599.99000000,376.15757000
2024-10-28 15:45:00,68600.00000000,68733.21000000,68466.76000000,68494.20000000,269.36610000
2024-10-28 16:00:00,68494.20000000,68800.00000000,68452.54000000,68777.92000000,208.87727000
2024-10-28 16:15:00,68777.91000000,68888.00000000,68774.00000000,68794.52000000,190.33604000
2024-10-28 16:30:00,68794.53000000,68909.10000000,68500.00000000,68909.09000000,269.20678000
2024-10-28 16:45:00,68909.09000000,68980.00000000,68709.26000000,68709.27000000,405.82273000
2024-10-28 17:00:00,68709.27000000,68933.16000000,68513.10000000,68904.00000000,469.65660000
2024-10-28 17:15:00,68903.99000000,68952.41000000,68816.87000000,68952.41000000,304.06295000
2024-10-28 17:30:00,68952.40000000,69208.43000000,68952.40000000,69189.30000000,503.61550000
2024-10-28 17:45:00,69189.31000000,69189.31000000,68950.50000000,68984.00000000,260.70355000
2024-10-28 18:00:00,68984.00000000,69240.00000000,68938.00000000,69169.52000000,350.39951000
2024-10-28 18:15:00,69169.51000000,69180.00000000,68874.32000000,68924.33000000,212.62443000
2024-10-28 18:30:00,68924.32000000,69004.48000000,68876.00000000,68938.93000000,216.46351000
2024-10-28 18:45:00,68938.93000000,69238.00000000,68846.00000000,69212.12000000,216.11389000
2024-10-28 19:00:00,69212.12000000,69617.77000000,69150.01000000,69593.92000000,1576.84798000
2024-10-28 19:15:00,69593.92000000,69900.00000000,69563.46000000,69817.06000000,1637.48875000
2024-10-28 19:30:00,69817.06000000,69895.00000000,69515.15000000,69765.75000000,682.30702000
2024-10-28 19:45:00,69765.76000000,69800.00000000,69460.83000000,69629.98000000,455.37971000
2024-10-28 20:00:00,69629.99000000,69719.59000000,69457.36000000,69557.40000000,336.45403000
2024-10-28 20:15:00,69557.40000000,69640.00000000,69427.79000000,69442.00000000,184.25973000
2024-10-28 20:30:00,69442.00000000,69557.52000000,69441.90000000,69536.09000000,179.93143000
2024-10-28 20:45:00,69536.10000000,69644.57000000,69465.88000000,69644.56000000,138.10729000
2024-10-28 21:00:00,69644.57000000,69790.00000000,69632.00000000,69679.99000000,152.52100000
2024-10-28 21:15:00,69680.00000000,69748.00000000,69518.35000000,69589.99000000,157.54916000
2024-10-28 21:30:00,69590.00000000,69790.00000000,69589.99000000,69686.02000000,198.57980000
